oci,timespan,citing,creation,author_sc,journal_sc,cited
020010107073601030603040509030103050001030506-020010107073601000409070302030006020907080804,P6Y7M,10.1177/1363459313501356,2013-09-11,no,no,10.1177/1049732306297884
020010107073601030603040509030103050001030506-020010107073601000409070302030009030500080709,P3Y10M22D,10.1177/1363459313501356,2013-09-11,no,no,10.1177/1049732309350879
020010107073601030603040509030103050001030506-020010107073601000809020503020100030701040905,P3Y3M25D,10.1177/1363459313501356,2013-09-11,no,no,10.1177/1089253210371495
020010107073601030603040509030103050001030506-0200101070736010305090100050300000000050000030005,P13Y4M,10.1177/1363459313501356,2013-09-11,no,no,10.1177/135910530000500305
020010107073601030603040509030103050001030506-020010107073601030509010005030008010000020102,P4Y6M,10.1177/1363459313501356,2013-09-11,no,no,10.1177/1359105308100212
020010107073601030603040509030103050001030506-0200101070736010600090400060900060000050000040005,P6Y9M,10.1177/1363459313501356,2013-09-11,no,no,10.1177/160940690600500405
020010107073601030603040509030103050001030506-020010200073628010503020709070327212818030700014902,P9Y8M,10.1177/1363459313501356,2013-09-11,no,no,10.1207/s15327973rlsi3701_2
020010107073601030603040509030103050001030506-020040103053609070800080507000204090902,P5Y,10.1177/1363459313501356,2013-09-11,no,no,10.4135/9780857024992
020010107073601030603040509030103050001030506-020040103053609070801040102090805020503,P15Y,10.1177/1363459313501356,2013-09-11,no,no,10.4135/9781412985253
020010107073601030603040509030103050001030506-0200702000836121718121016243609070800020206020600000307370000013700000001,P18Y,10.1177/1363459313501356,2013-09-11,no,no,10.7208/chicago/9780226260037.001.0001
